base64,description,x,y
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAQMAAAAlPW0iAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAGUExURUctPP///zQoCaUAAAABYktHRAH/Ai3eAAAAB3RJTUUH6QYdDBwK3xTXLwAAAAxJREFUCNdjYCANAAAAMAABx6qFjgAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a dark purple gem"",
    ""a patch of shadow"",
    ""a bruised skin texture"",
    ""a magic portal"",
    ""a UI element background""
  ]
}",0,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADhJREFUCNcti8ENACAIxEoif0wciBFk/2XkiA30cXAwmLQDlsYnsrztalFJsPks7Wl5kKrqJWNuD3FaAyh6bQbRAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""scattered bloodstains"",
    ""a patch of red mushrooms"",
    ""a cluster of rubies"",
    ""a damaged leather patch"",
    ""a small fire's embers""
  ]
}",1,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADxJREFUCNclizEKACAMA0+oe4f6nzq4O/j/t5jSkBwhECj5wOEusLtMgxpHiWlBUH6KkPjrjzFzpLALtD6nZwTAjNzFyQAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a field of small stones"",
    ""a rough dirt path"",
    ""a bloodstained ground"",
    ""a texture for a dark cave floor"",
    ""a damaged stone wall""
  ]
}",2,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADZJREFUCNctiLENACAMw1wJdvioA93J/89Q1FpKFAcK7zADLGJllTtbOU1xsPsvkzOUhco7nwf+QAZf2y6YTgAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a cluster of gems"",
    ""a bloodstained stone floor"",
    ""a patch of strange fungus"",
    ""a ruby resource icon"",
    ""a damaged wall section""
  ]
}",3,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADpJREFUCNdjYAADBxYgwerAwMDo6uoAIlwYBIEMkGAAA2ugK4wIAAkxBgJlAwOB6kAEAyNIUIARYhAAPvsICMmfRQAAAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a rough stone wall"",
    ""a tiled floor pattern"",
    ""a cluster of gems"",
    ""a bloodstained surface"",
    ""a brick texture""
  ]
}",4,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPDjZc////yHYjicAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAC9JREFUCNdjYIAAFiB2YGVhYHFhFAHxBRjQgQCDA4NAAIsLg4gDVD0UMIIIQagGAFo6Ai1GAZHgAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""glowing fungal spores"",
    ""will-o'-the-wisps"",
    ""a magical energy field"",
    ""poisonous gas clouds"",
    ""firefly swarm""
  ]
}",5,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPDjZc////yHYjicAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADhJREFUCNdFjEEKACAMw1Ko9x180Dz4/y+5IWihEGgovEgE3iqys7iICGOYjF7l1eJt4lRbkf/kAFAnAjfVzI4XAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""poisonous gas cloud"",
    ""a swarm of fireflies"",
    ""magical glowing spores"",
    ""a patch of glowing moss"",
    ""a health regeneration aura""
  ]
}",6,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPDjZc////yHYjicAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADpJREFUCNcljLENADAIw4yU7gwc1BP6/zVNWhiQbAvItJfhCLHnE7p8pzYytFXodKSTpL0iKgn1HnEBdF0Cx+hDkP0AAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""glowing mushrooms"",
    ""poisonous spores"",
    ""a patch of slime"",
    ""magical energy particles"",
    ""a disease indicator""
  ]
}",7,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAB9JREFUCNdjEAwNdWGAECGiLgwCIaIsEALMRZIlTh0AAbwM5d4PFgEAAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a section of castle wall"",
    ""a stone doorway"",
    ""a ruined archway"",
    ""a decorative tapestry"",
    ""a brick pattern UI element""
  ]
}",8,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADZJREFUCNdjYAAD0dBQBsYAIIOVMUSUgQXEFQkFEgIgQjA0gBVGgLghokAJOAHkOoAkXEGECwCf7gwPCk//JwAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a castle corner"",
    ""a brick wall section"",
    ""a fortified tower base"",
    ""a dungeon room corner"",
    ""a building UI element""
  ]
}",9,0
